Time;Iteration;Description;Value
17:12:51;1;Entered Screen;1
17:13:14;1;Time Spent;22
17:13:14;1;Entered Screen;2
17:13:47;1;Time Spent;32
17:13:47;1;Entered Screen;3
17:26:32;1;Total strain energy;4,30E+06
17:26:32;1;Total structural volume;9,55E+10
17:26:32;1;1, Space ID: 7;1610000
17:26:32;1;2, Space ID: 1;937654
17:26:32;1;3, Space ID: 2;660338
17:26:32;1;4, Space ID: 3;484822
17:26:32;1;5, Space ID: 9;422824
17:26:32;1;6, Space ID: 6;413297
17:26:32;1;7, Space ID: 5;391773
17:26:32;1;8, Space ID: 8;284181
17:26:32;1;9, Space ID: 10;228116
17:26:32;1;10, Space ID: 4;106714
17:26:32;1;Number of beams;32
17:26:32;1;Number of trusses;10
17:26:32;1;Number of flat shells;8
17:26:32;1;Time Spent;765
17:26:32;1;Entered Screen;5
17:27:16;1;Space Removed;10
17:27:20;1;Time Spent;47
17:27:20;1;Entered Screen;6
17:27:55;1;Space Split;7
17:27:55;1;Scale Factor;1,0378
17:27:57;1;Time Spent;36
17:27:57;1;Entered Screen;7
17:28:19;2;Time Spent;22
17:28:19;2;Entered Screen;1
17:28:35;2;Time Spent;15
17:28:35;2;Entered Screen;2
17:28:47;2;Time Spent;12
17:28:47;2;Entered Screen;4
17:36:10;2;Total strain energy;1,54E+06
17:36:10;2;Total structural volume;7,61E+10
17:36:10;2;1, Space ID: 12;512125
17:36:10;2;2, Space ID: 11;317173
17:36:10;2;3, Space ID: 1;223022
17:36:10;2;4, Space ID: 9;213356
17:36:10;2;5, Space ID: 3;163709
17:36:10;2;6, Space ID: 2;154008
17:36:10;2;7, Space ID: 4;143749
17:36:10;2;8, Space ID: 5;137182
17:36:10;2;9, Space ID: 6;94452,5
17:36:10;2;10, Space ID: 8;78186,6
17:36:10;2;Number of beams;31
17:36:10;2;Number of trusses;10
17:36:10;2;Number of flat shells;4
17:36:10;2;Time Spent;442
17:36:10;2;Entered Screen;5
17:36:52;2;Space Removed;6
17:36:54;2;Time Spent;44
17:36:54;2;Entered Screen;6
17:37:14;2;Space Split;4
17:37:14;2;Scale Factor;1,0408
17:37:16;2;Time Spent;21
17:37:16;2;Entered Screen;8
17:37:59;2;Time Spent;43
17:37:59;2;Entered Screen;9
17:38:10;4;How satisfied were you with the overall design process you experienced?;It was nice to do
17:38:10;2;Time Spent;11
17:38:10;2;Entered Screen;10
17:38:26;3;How easy was it to use the design tools provided?;Didn't work very well with turning around but i finished
17:38:26;2;Time Spent;16
17:38:26;2;Entered Screen;11
17:38:40;3;How satisfied are you with the design decisions you made?;I made decent decisions i believe
17:38:40;2;Time Spent;13
17:38:40;2;Entered Screen;12
17:39:22;0;How do you think having AI assistance would have changed your design process?;AI would make decisions based on a certain theory, while i made decisions based on feeling and easthetics as well, i dont know if AI can take that part into account.
17:39:22;2;Time Spent;41
17:39:22;2;Entered Screen;13
17:39:55;0;Would you choose to use this design process in future projects based on your current experience?;No not really, the first design was better, but making iterations is a way to design for every project.
17:39:55;2;Time Spent;32
17:39:55;2;Entered Screen;14
17:40:19;0;Please provide any additional comments or suggestions on how we could improve the design process used in this experiment.;Maybe also give the possibility to resize parts or combine 2 parts
17:40:19;2;Time Spent;24
17:40:19;2;Entered Screen;15
;;;
