Time;Iteration;Description;Value
16:04:21;1;Entered Screen;1
16:05:27;1;Time Spent;65
16:05:27;1;Entered Screen;2
16:06:01;1;Time Spent;34
16:06:01;1;Entered Screen;3
16:18:58;1;Total strain energy;2,32E+06
16:18:58;1;Total structural volume;8,75E+10
16:18:58;1;1, Space ID: 7, Performance: 1.22625e+06;1230000
16:18:58;1;2, Space ID: 3, Performance: 443509;443509
16:18:58;1;3, Space ID: 1, Performance: 398048;398048
16:18:58;1;4, Space ID: 2, Performance: 293247;293247
16:18:58;1;5, Space ID: 4, Performance: 288492;288492
16:18:58;1;6, Space ID: 9, Performance: 263111;263111
16:18:58;1;7, Space ID: 8, Performance: 195878;195878
16:18:58;1;8, Space ID: 5, Performance: 64953.6;64953,6
16:18:58;1;9, Space ID: 6, Performance: 61020.3;61020,3
16:18:58;1;10, Space ID: 10, Performance: 46148.1;46148,1
16:18:58;1;Number of beams;25
16:18:58;1;Number of trusses;11
16:18:58;1;Number of flat shells;14
16:18:58;1;Time Spent;776
16:18:58;1;Entered Screen;5
16:18:59;1;AI structural model 1: strain energy;290619
16:18:59;1;AI structural model 1: structural volume;-
16:19:00;1;AI structural model 2: strain energy;3,37E+06
16:19:00;1;AI structural model 2: structural volume;-
16:19:00;1;AI structural model 3: strain energy;2,57E+07
16:19:00;1;AI structural model 3: structural volume;-
16:22:14;1;Chosen SD model;1
16:22:14;1;Total strain energy;2,32E+06
16:22:14;1;Total structural volume;8,75E+10
16:22:15;1;1, Space ID: 7, Performance: 1.22625e+06;1230000
16:22:15;1;2, Space ID: 3, Performance: 443509;443509
16:22:15;1;3, Space ID: 1, Performance: 398048;398048
16:22:15;1;4, Space ID: 2, Performance: 293247;293247
16:22:15;1;5, Space ID: 4, Performance: 288492;288492
16:22:15;1;6, Space ID: 9, Performance: 263111;263111
16:22:15;1;7, Space ID: 8, Performance: 195878;195878
16:22:15;1;8, Space ID: 5, Performance: 64953.6;64953,6
16:22:15;1;9, Space ID: 6, Performance: 61020.3;61020,3
16:22:15;1;10, Space ID: 10, Performance: 46148.1;46148,1
16:22:15;1;Time Spent;196
16:22:15;1;Entered Screen;6
16:24:24;1;Space Removed;7
16:24:29;1;Time Spent;133
16:24:29;1;Entered Screen;7
16:25:10;1;Space Split;9
16:25:10;1;Scale Factor;1,1832
16:25:17;1;Time Spent;48
16:25:17;1;Entered Screen;8
16:25:18;1;Own building spatial design;100
16:25:18;1;AI generated design 1;187%
16:25:18;1;AI generated design 2;153%
16:25:18;1;AI generated design 3;155%
16:27:08;1;Chosen MS model;1
16:27:08;1;Time Spent;111
16:27:08;1;Entered Screen;9
16:27:40;2;Time Spent;31
16:27:40;2;Entered Screen;1
16:28:01;2;Time Spent;20
16:28:01;2;Entered Screen;2
16:28:30;2;Time Spent;29
16:28:30;2;Entered Screen;4
16:37:52;2;Total strain energy;1,22E+06
16:37:52;2;Total structural volume;6,63E+10
16:37:53;2;1, Space ID: 2, Performance: 404399;404399
16:37:53;2;2, Space ID: 1, Performance: 385785;385785
16:37:53;2;3, Space ID: 3, Performance: 243275;243275
16:37:53;2;4, Space ID: 8, Performance: 157131;157131
16:37:53;2;5, Space ID: 4, Performance: 118290;118290
16:37:53;2;6, Space ID: 10, Performance: 99697.9;99697,9
16:37:53;2;7, Space ID: 11, Performance: 76055.3;76055,3
16:37:53;2;8, Space ID: 6, Performance: 56532.7;56532,7
16:37:53;2;9, Space ID: 12, Performance: 56277.2;56277,2
16:37:53;2;10, Space ID: 5, Performance: 48020.1;48020,1
16:37:53;2;Number of beams;21
16:37:53;2;Number of trusses;10
16:37:53;2;Number of flat shells;13
16:37:53;2;Time Spent;562
16:37:53;2;Entered Screen;5
16:37:54;2;AI structural model 1: strain energy;120809
16:37:54;2;AI structural model 1: structural volume;-
16:37:54;2;AI structural model 2: strain energy;1,41E+06
16:37:54;2;AI structural model 2: structural volume;-
16:37:54;2;AI structural model 3: strain energy;1,91E+07
16:37:54;2;AI structural model 3: structural volume;-
16:38:59;2;Chosen SD model;3
17:38:59;2;Total strain energy;1408360
18:38:59;2;Total structural volume;78027000000
16:38:59;2;1, Space ID: 8, Performance: 278868;278868
16:38:59;2;2, Space ID: 6, Performance: 256055;256055
16:38:59;2;3, Space ID: 5, Performance: 256028;256028
16:38:59;2;4, Space ID: 3, Performance: 204153;204153
16:38:59;2;5, Space ID: 4, Performance: 199238;199238
16:38:59;2;6, Space ID: 2, Performance: 198540;198540
16:38:59;2;7, Space ID: 1, Performance: 198493;198493
16:38:59;2;8, Space ID: 11, Performance: 158107;158107
16:38:59;2;9, Space ID: 12, Performance: 114483;114483
16:38:59;2;10, Space ID: 10, Performance: 51501.3;51501,3
16:38:59;2;Time Spent;66
16:38:59;2;Entered Screen;6
16:39:47;2;Space Removed;10
16:39:49;2;Time Spent;50
16:39:49;2;Entered Screen;7
16:40:04;2;Space Split;8
16:40:04;2;Scale Factor;1,0541
16:40:06;2;Time Spent;16
16:40:06;2;Entered Screen;8
16:41:06;2;Chosen MS model;2
16:41:06;2;Time Spent;59
16:41:06;2;Entered Screen;10
16:41:18;2;Time Spent;12
16:41:18;2;Entered Screen;11
16:41:23;4;How satisfied were you with the overall design process you experienced?;
16:41:23;2;Time Spent;5
16:41:23;2;Entered Screen;12
16:41:27;5;How easy was it to use the design tools provided?;
16:41:27;2;Time Spent;3
16:41:27;2;Entered Screen;13
16:41:33;3;How often did you find the AI-provided models reliable enough to influence your design decisions?;
16:41:33;2;Time Spent;6
16:41:33;2;Entered Screen;14
16:42:53;0;How do you think your design process would have differed if you had not had AI assistance?;I think AI showed me some design process options that i would likely not have thought about, but more often than not they were not convincing enough to alter my decision but it did provide som e new insights which i had not thought about
16:42:53;2;Time Spent;79
16:42:53;2;Entered Screen;15
16:43:32;0;Would you choose to use this design process in future projects based on your current experience?;I think I would, because it is a pretty easy to use tool and provides with more options thanks to AI from which i can be inspired to alter my designs
16:43:32;2;Time Spent;38
16:43:32;2;Entered Screen;16
16:43:43;0;Please provide any additional comments or suggestions on how we could improve the design process used in this experiment.;
16:43:43;2;Time Spent;11
16:43:43;2;Entered Screen;17
