Time;Iteration;Description;Value
17:56:40;1;Entered Screen;1
17:56:55;1;Time Spent;15
17:56:55;1;Entered Screen;2
17:57:47;1;Time Spent;51
17:57:47;1;Entered Screen;3
18:17:43;1;Total strain energy;6,20E+06
18:17:43;1;Total structural volume;8,19E+10
18:17:43;1;1, Space ID: 7, Performance: 2.42041e+06;2,42E+06
18:17:43;1;2, Space ID: 2, Performance: 1.17517e+06;1,18E+06
18:17:43;1;3, Space ID: 3, Performance: 1.02426e+06;1,02E+06
18:17:43;1;4, Space ID: 6, Performance: 678581;678581
18:17:43;1;5, Space ID: 5, Performance: 546083;546083
18:17:43;1;6, Space ID: 8, Performance: 523455;523455
18:17:43;1;7, Space ID: 1, Performance: 507814;507814
18:17:43;1;8, Space ID: 9, Performance: 416867;416867
18:17:43;1;9, Space ID: 4, Performance: 225521;225521
18:17:43;1;10, Space ID: 10, Performance: 163698;163698
18:17:43;1;Number of beams;31
18:17:43;1;Number of trusses;19
18:17:43;1;Number of flat shells;0
18:17:43;1;Time Spent;1196
18:17:43;1;Entered Screen;5
18:17:44;1;AI structural model 1: strain energy;290619
18:17:44;1;AI structural model 1: structural volume;-
18:17:45;1;AI structural model 2: strain energy;3,37E+06
18:17:45;1;AI structural model 2: structural volume;-
18:17:45;1;AI structural model 3: strain energy;2,57E+07
18:17:45;1;AI structural model 3: structural volume;-
18:20:22;1;Chosen SD model;1
18:20:23;1;Total strain energy;6,20E+06
18:20:23;1;Total structural volume;8,19E+10
18:20:23;1;1, Space ID: 7, Performance: 2.42041e+06;2,42E+06
18:20:23;1;2, Space ID: 2, Performance: 1.17517e+06;1,18E+06
18:20:23;1;3, Space ID: 3, Performance: 1.02426e+06;1,02E+06
18:20:23;1;4, Space ID: 6, Performance: 678581;678581
18:20:23;1;5, Space ID: 5, Performance: 546083;546083
18:20:23;1;6, Space ID: 8, Performance: 523455;523455
18:20:23;1;7, Space ID: 1, Performance: 507814;507814
18:20:23;1;8, Space ID: 9, Performance: 416867;416867
18:20:23;1;9, Space ID: 4, Performance: 225521;225521
18:20:23;1;10, Space ID: 10, Performance: 163698;163698
18:20:23;1;Time Spent;160
